fecha;ventas;tv_ad98;p1ola1_ad40;p2ola1_ad40;p3_ola1_ad40;p4_ola1_ad40;p5_ola1_ad40;p1_ola2_ad40;p1_ola3_ad40;dp;ip;iip_p1;iip_p2;iip_p3;revistas_ad20;competencia1;competencia2;competencia3;competencia4
2017-10-02;6,91;2488,282159;5,330000000e-21;2,850000000e-15;0,000000000e+00;0,000000000e+00;1,408557056e+00;1,129112000e+02;0,0000000e+00;45;1,359218164;0,000000000;0,024602026;0,095513748;1,438501211e+03;0,000000000e+00;0,00000000000;0,020985401;0,059139785
2017-10-09;6,38;2438,516515;2,130000000e-21;1,140000000e-15;0,000000000e+00;0,000000000e+00;5,634228220e-01;4,516448000e+01;0,0000000e+00;42;1,287567519;0,000000000;0,026645768;0,100313480;5,322443468e+03;0,000000000e+00;0,00000000000;0,008665511;0,024096386
2017-10-16;5,84;2389,746185;8,520000000e-22;4,550000000e-16;0,000000000e+00;0,000000000e+00;2,253691290e-01;1,806579200e+01;0,0000000e+00;43;1,315498003;0,000000000;0,015410959;0,121575342;6,099231919e+03;0,000000000e+00;0,00000000000;0,023496241;0,000000000
2017-10-23;5,88;2341,951261;3,410000000e-22;1,820000000e-16;0,000000000e+00;0,000000000e+00;9,014765200e-02;7,226316800e+00;0,0000000e+00;41;1,282403290;0,000000000;0,013605442;0,119047619;6,254589610e+03;0,000000000e+00;0,00000000000;0,013071895;0,054409006
2017-10-30;5,74;2295,112236;1,360000000e-22;7,290000000e-17;0,000000000e+00;0,000000000e+00;3,605906100e-02;2,890526720e+00;0,0000000e+00;40;1,266666639;0,000000000;0,006968641;0,094076655;6,285661148e+03;0,000000000e+00;0,00000000000;0,039215686;0,022770398
2017-11-06;5,73;2249,209991;5,450000000e-23;2,910000000e-17;0,000000000e+00;0,000000000e+00;1,442362400e-02;1,156210688e+00;0,0000000e+00;40;1,276099330;0,000000000;0,008726003;0,113438045;1,976381262e+03;0,000000000e+00;0,00000000000;0,036706349;0,021052632
2017-11-13;5,99;2204,225792;2,180000000e-23;1,170000000e-17;0,000000000e+00;0,000000000e+00;5,769450000e-03;4,624842750e-01;0,0000000e+00;41;1,267564123;0,003338898;0,010016694;0,136894825;3,952762524e+02;0,000000000e+00;0,00000000000;0,034938621;0,006578947
2017-11-20;4,95;2160,141276;8,730000000e-24;4,660000000e-18;0,000000000e+00;0,000000000e+00;2,307780000e-03;1,849937100e-01;0,0000000e+00;39;1,312265759;0,014141414;0,014141414;0,088888889;7,905525047e+01;0,000000000e+00;0,00000000000;0,024263432;0,006514658
2017-11-27;5,63;2341,438450;3,490000000e-24;1,870000000e-18;0,000000000e+00;0,000000000e+00;9,231120000e-04;7,399748400e-02;2,2450000e+02;40;1,268710918;0,000000000;0,005328597;0,078152753;1,581105009e+01;0,000000000e+00;0,00000000000;0,000000000;0,006849315
2017-12-04;7,91;2507,809681;1,400000000e-24;7,460000000e-19;0,000000000e+00;0,000000000e+00;3,692450000e-04;2,959899400e-02;3,0300000e+02;46;1,296724784;0,000000000;0,005056890;0,056890013;3,162210019e+00;0,000000000e+00;0,00000000000;0,013818182;0,000000000
2017-12-11;6,97;2646,453488;5,590000000e-25;2,980000000e-19;0,000000000e+00;0,000000000e+00;1,476980000e-04;1,183959700e-02;3,1000000e+02;45;1,269907838;0,000000000;0,007173601;0,068866571;6,324420040e-01;0,000000000e+00;0,00000000000;0,017872340;0,000000000
2017-12-18;8,55;2783,524418;2,230000000e-25;1,190000000e-19;0,000000000e+00;0,000000000e+00;5,910000000e-05;4,735839000e-03;3,1400000e+02;48;1,274776935;0,001169591;0,015204678;0,119298246;1,264884010e-01;0,000000000e+00;0,00000000000;0,004071661;0,000000000
2017-12-25;8,13;2727,853929;8,940000000e-26;4,780000000e-20;0,000000000e+00;0,000000000e+00;2,360000000e-05;1,894336000e-03;1,2560000e+02;49;1,256064684;0,003690037;0,025830258;0,104551046;2,529768000e-02;0,000000000e+00;0,00000000000;0,003816794;0,037974684
2018-01-01;6,50;2673,296851;3,570000000e-26;1,910000000e-20;0,000000000e+00;0,000000000e+00;9,450000000e-06;7,577340000e-04;5,0240000e+01;44;1,307597950;0,003076923;0,015384615;0,095384615;5,059536000e-03;0,000000000e+00;0,00000000000;0,005672609;0,027397260
2018-01-08;6,98;2619,830914;1,430000000e-26;7,640000000e-21;0,000000000e+00;0,000000000e+00;3,780000000e-06;3,030940000e-04;2,0096000e+01;51;1,196800929;0,000000000;0,010028653;0,094555874;1,011907000e-03;0,000000000e+00;0,00000000000;0,019787986;0,000000000
